,bs1,bs2,bs_delta,std1,std2,std_delta
831,0.5467374920845032,0.5467375,0.0,3.200052499771118,1.4901242,-1.709928274154663
832,0.770576000213623,0.77057594,-5.960464477539063e-08,4.4433088302612305,2.139795,-2.303513765335083
833,0.8148921132087708,0.8148921,0.0,4.501995086669922,2.3281353,-2.1738598346710205
834,0.9104723930358887,0.9104724,0.0,4.947691917419434,2.4075477,-2.540144205093384
835,1.2648266553878784,1.2648267,0.0,5.088233470916748,2.3228025,-2.7654309272766113
836,0.6069390177726746,0.606939,0.0,3.2678756713867188,1.572539,-1.6953366994857788
837,1.014336109161377,1.0143361,0.0,5.302885055541992,2.4857523,-2.8171327114105225
838,0.5089340806007385,0.508934,-5.960464477539063e-08,2.5862224102020264,1.1086384,-1.4775840044021606
839,0.7615544199943542,0.7615544,0.0,4.3211445808410645,2.1305194,-2.1906251907348633
840,1.2138811349868774,1.2138811,0.0,6.996723175048828,3.6016238,-3.395099401473999
841,0.4748154282569885,0.4748154,-2.9802322387695312e-08,2.492931842803955,1.2333039,-1.2596279382705688
842,0.7550476789474487,0.7550477,0.0,3.658421516418457,1.7399558,-1.9184657335281372
843,0.6068907976150513,0.6068908,0.0,2.9442572593688965,1.3131313,-1.6311259269714355
844,0.6675750017166138,0.667575,0.0,3.920234203338623,1.8556733,-2.064560890197754
845,0.7530350089073181,0.753035,0.0,4.162832736968994,1.9883103,-2.1745223999023438
846,1.1518852710723877,1.1518853,0.0,6.054401874542236,2.6770005,-3.377401351928711
847,0.793755054473877,0.7937552,1.1920928955078125e-07,4.33104944229126,2.0686655,-2.2623839378356934
848,0.6749988198280334,0.6749988,0.0,3.6238811016082764,1.6181985,-2.005682587623596
849,1.0661264657974243,1.0661266,1.1920928955078125e-07,5.864229679107666,2.8408966,-3.0233330726623535
850,0.529258131980896,0.5292582,5.960464477539063e-08,2.9701225757598877,1.5112532,-1.4588693380355835
851,0.7376595139503479,0.7376595,0.0,4.332819938659668,2.0245337,-2.308286190032959
852,0.5422514081001282,0.54225147,5.960464477539063e-08,2.930485963821411,1.3154628,-1.615023136138916
853,0.5683791041374207,0.56837904,-5.960464477539063e-08,2.6151421070098877,1.2616056,-1.3535364866256714
854,0.7995864748954773,0.7995864,-5.960464477539063e-08,3.9896085262298584,1.844261,-2.145347476005554
